"country"	"year"	"pop"	"gdpen"
"USA"	1945	140969	7.626
"USA"	1946	141936	7.654
"USA"	1947	142713	8.025
"USA"	1948	145326	8.27
"USA"	1949	147987	8.04
"USA"	1950	152273	8.772
"USA"	1951	155000	9.109
"USA"	1952	157727	9.074
"USA"	1953	160475	9.3
"USA"	1954	163202	9.089
"USA"	1955	165929	9.723
"USA"	1956	168882	9.712
"USA"	1957	171835	9.643
"USA"	1958	174767	9.37
"USA"	1959	177720	9.839
"USA"	1960	180673	9.895
"USA"	1961	183687	9.946
"USA"	1962	186537	10.358
"USA"	1963	189244	10.642
"USA"	1964	191889	11.072
"USA"	1965	194309	11.649
"USA"	1966	196564	12.164
"USA"	1967	198717	12.318
"USA"	1968	200706	12.723
"USA"	1969	202675	12.975
"USA"	1970	205052	12.963
"USA"	1971	207661	13.233
"USA"	1972	209896	13.747
"USA"	1973	211909	14.379
"USA"	1974	213854	14.078
"USA"	1975	215973	13.682
"USA"	1976	218035	14.271
"USA"	1977	220239	14.832
"USA"	1978	222585	15.44
"USA"	1979	225055	15.637
"USA"	1980	227757	15.295
"USA"	1981	230138	15.502
"USA"	1982	232520	14.897
"USA"	1983	234799	15.29
"USA"	1984	237001	16.255
"USA"	1985	239279	16.57
"USA"	1986	241625	16.848
"USA"	1987	243942	17.186
"USA"	1988	246307	17.71
"USA"	1989	248231	18.095
"USA"	1990	250372	18.054
"USA"	1991	252688	17.594
"USA"	1992	255000	17.945
"USA"	1993	257753	18.20255
"USA"	1994	260292	18.70333
"USA"	1995	262761	18.95671
"USA"	1996	265179	19.38626
"USA"	1997	267636	19.99499
"USA"	1998	270029	20.61325
"USA"	1999	NA	21.09925
"CANADA"	1945	12394	5.188
"CANADA"	1946	12622	5.36
"CANADA"	1947	12888	5.532
"CANADA"	1948	13167	5.73
"CANADA"	1949	13475	5.745
"CANADA"	1950	13737	6.38
"CANADA"	1951	14138	6.511
"CANADA"	1952	14537	6.779
"CANADA"	1953	14937	6.901
"CANADA"	1954	15336	6.579
"CANADA"	1955	15735	6.978
"CANADA"	1956	16170	7.435
"CANADA"	1957	16605	7.341
"CANADA"	1958	17040	7.194
"CANADA"	1959	17475	7.304
"CANADA"	1960	17910	7.258
"CANADA"	1961	18270	7.261
"CANADA"	1962	18614	7.605
"CANADA"	1963	18963	7.876
"CANADA"	1964	19326	8.244
"CANADA"	1965	19678	8.664
"CANADA"	1966	20049	9.093
"CANADA"	1967	20411	9.231
"CANADA"	1968	20744	9.582
"CANADA"	1969	21028	9.975
"CANADA"	1970	21324	10.124
"CANADA"	1971	21592	10.599
"CANADA"	1972	21822	11.125
"CANADA"	1973	22072	11.854
"CANADA"	1974	22364	12.225
"CANADA"	1975	22697	12.287
"CANADA"	1976	22993	12.929
"CANADA"	1977	23273	13.184
"CANADA"	1978	23517	13.631
"CANADA"	1979	23747	14.114
"CANADA"	1980	24043	14.133
"CANADA"	1981	24342	14.555
"CANADA"	1982	24583	13.74
"CANADA"	1983	24787	14.105
"CANADA"	1984	24978	14.954
"CANADA"	1985	25165	15.589
"CANADA"	1986	25353	16.029
"CANADA"	1987	25625	16.602
"CANADA"	1988	25950	17.258
"CANADA"	1989	26219	17.524
"CANADA"	1990	26522	17.173
"CANADA"	1991	27300	16.368
"CANADA"	1992	27445	16.362
"CANADA"	1993	28947	16.55638
"CANADA"	1994	29256	17.17337
"CANADA"	1995	29615	17.49835
"CANADA"	1996	29969.2	17.57557
"CANADA"	1997	30286.6	18.15415
"CANADA"	1998	30585.99	18.59254
"CANADA"	1999	NA	19.29062
"CUBA"	1945	4932	NA
"CUBA"	1946	5039	2.127
"CUBA"	1947	5152	2.136
"CUBA"	1948	5287	2.051
